arm,read_ratio,nop_counter,streaming_only,status,throughput_GBps,probe_latency_ns,reason
md1,90,100,False,complete,8.751105186767473,24.6401376,
md1,90,125,False,complete,7.69698236621451,23.0689472,
md1,90,150,False,complete,6.975364142364771,22.276300799999998,
md1,90,200,False,complete,6.056501121309409,21.4777056,
md1,90,300,False,complete,5.146331389634822,20.6786112,
md1,90,500,False,complete,4.389413225539587,20.261072,
md1,90,750,False,complete,4.039882450977915,19.8801408,
md1,90,1000,False,complete,3.837663298051105,19.8620448,
md1,90,2000,False,complete,3.591318643087713,19.4905152,
md1,90,5000,False,complete,3.4100823727994083,19.4716288,
md1,90,10000,False,complete,3.348290036791091,19.4716288,
md1,80,1,False,complete,615.6948801533027,180.0784128,
md1,80,33,False,complete,19.008802941844497,176.8015808,
md1,80,36,False,complete,17.669863568745495,110.8986528,
md1,80,38,False,complete,16.99090665685637,80.20737919999999,
md1,80,41,False,complete,16.079376829772738,59.761478399999994,
md1,80,44,False,complete,15.274371489970203,49.670192,
md1,80,47,False,complete,14.568226340243847,43.374572799999996,
md1,80,50,False,complete,13.932575904188122,39.3699072,
md1,80,52,False,complete,13.545590616462368,37.381510399999996,
md1,80,55,False,complete,13.017641726110208,34.987555199999996,
md1,80,58,False,complete,12.539076694648218,33.172672,
md1,80,65,False,complete,11.58425740197081,30.228015999999997,
md1,80,70,False,complete,11.0200599598618,28.710364799999997,
md1,80,80,False,complete,10.083117265111376,26.7631104,
md1,80,90,False,complete,9.351487102393994,25.458326399999997,
md1,80,100,False,complete,8.751364925138207,24.6401376,
md1,80,125,False,complete,7.69698236621451,23.0689472,
md1,80,150,False,complete,6.975364142364771,22.276300799999998,
md1,80,200,False,complete,6.056501121309409,21.4777056,
md1,80,300,False,complete,5.146331389634822,20.6786112,
md1,80,500,False,complete,4.389413225539587,20.261072,
md1,80,750,False,complete,4.039882450977915,19.8801408,
md1,80,1000,False,complete,3.837663298051105,19.8620448,
md1,80,2000,False,complete,3.591318643087713,19.4905152,
md1,80,5000,False,complete,3.4100823727994083,19.4716288,
md1,80,10000,False,complete,3.348290036791091,19.4716288,
md1,70,1,False,complete,615.7007798041163,180.0784128,
md1,70,33,False,complete,19.009020134421572,176.8015808,
md1,70,36,False,complete,17.66992127907324,110.8986528,
md1,70,38,False,complete,16.99090665685637,80.20737919999999,
md1,70,41,False,complete,16.07980519906455,59.761478399999994,
md1,70,44,False,complete,15.27462918958368,49.670192,
md1,70,47,False,complete,14.568373891987845,43.374572799999996,
md1,70,50,False,complete,13.93273846472465,39.3699072,
md1,70,52,False,complete,13.545590616462368,37.381510399999996,
md1,70,55,False,complete,13.017641726110208,34.987555199999996,
md1,70,58,False,complete,12.539076694648218,33.172672,
md1,70,65,False,complete,11.58425740197081,30.228015999999997,
md1,70,70,False,complete,11.0200599598618,28.710364799999997,
md1,70,80,False,complete,10.083356399873978,26.7631104,
md1,70,90,False,complete,9.351487102393994,25.458326399999997,
md1,70,100,False,complete,8.751364925138207,24.6401376,
md1,70,125,False,complete,7.69698236621451,23.0689472,
md1,70,150,False,complete,6.975364142364771,22.276300799999998,
md1,70,200,False,complete,6.056501121309409,21.4777056,
md1,70,300,False,complete,5.146331389634822,20.6786112,
md1,70,500,False,complete,4.389413225539587,20.261072,
md1,70,750,False,complete,4.039882450977915,19.8801408,
md1,70,1000,False,complete,3.837663298051105,19.8620448,
md1,70,2000,False,complete,3.591318643087713,19.4905152,
md1,70,5000,False,complete,3.4100823727994083,19.4716288,
md1,70,10000,False,complete,3.348290036791091,19.4716288,
md1,60,1,False,complete,615.706466214539,180.0784128,
md1,60,33,False,complete,19.009092531947264,176.8015808,
md1,60,36,False,complete,17.66997898940098,110.8986528,
md1,60,38,False,complete,16.991225829318775,80.20737919999999,
md1,60,41,False,complete,16.07980519906455,59.761478399999994,
md1,60,44,False,complete,15.27462918958368,49.670192,
md1,60,47,False,complete,14.568226340243847,43.374572799999996,
md1,60,50,False,complete,13.93273846472465,39.3699072,
md1,60,52,False,complete,13.545590616462368,37.381510399999996,
md1,60,55,False,complete,13.017824648076429,34.987555199999996,
md1,60,58,False,complete,12.539076694648218,33.172672,
md1,60,65,False,complete,11.584469125796558,30.228015999999997,
md1,60,70,False,complete,11.02028287554996,28.710364799999997,
md1,60,80,False,complete,10.083117265111376,26.7631104,
md1,60,90,False,complete,9.351487102393994,25.458326399999997,
md1,60,100,False,complete,8.751105186767473,24.6401376,
md1,60,125,False,complete,7.69698236621451,23.0689472,
md1,60,150,False,complete,6.975651442671307,22.276300799999998,
md1,60,200,False,complete,6.056501121309409,21.4777056,
md1,60,300,False,complete,5.146331389634822,20.6786112,
md1,60,500,False,complete,4.389413225539587,20.261072,
md1,60,750,False,complete,4.039882450977915,19.8801408,
md1,60,1000,False,complete,3.837663298051105,19.8620448,
md1,60,2000,False,complete,3.591318643087713,19.4905152,
md1,60,5000,False,complete,3.4100823727994083,19.4716288,
md1,60,10000,False,complete,3.348290036791091,19.4716288,
md1,50,1,False,complete,615.7121881650268,180.0784128,
md1,50,33,False,complete,19.00930972452434,176.8015808,
md1,50,36,False,complete,17.66992127907324,110.8986528,
md1,50,38,False,complete,16.99146520866558,80.20737919999999,
md1,50,41,False,complete,16.080019383710457,59.761478399999994,
md1,50,44,False,complete,15.274758039390418,49.670192,
md1,50,47,False,complete,14.568078788499848,43.374572799999996,
md1,50,50,False,complete,13.93273846472465,39.3699072,
md1,50,52,False,complete,13.545761823907153,37.381510399999996,
md1,50,55,False,complete,13.017824648076429,34.987555199999996,
md1,50,58,False,complete,12.539269624297482,33.172672,
md1,50,65,False,complete,11.584469125796558,30.228015999999997,
md1,50,70,False,complete,11.02028287554996,28.710364799999997,
md1,50,80,False,complete,10.083356399873978,26.7631104,
md1,50,90,False,complete,9.351738493213706,25.458326399999997,
md1,50,100,False,complete,8.751364925138207,24.6401376,
md1,50,125,False,complete,7.697259794933015,23.0689472,
md1,50,150,False,complete,6.975651442671307,22.276300799999998,
md1,50,200,False,complete,6.056501121309409,21.4777056,
md1,50,300,False,complete,5.146331389634822,20.6786112,
md1,50,500,False,complete,4.389729101563302,20.261072,
md1,50,750,False,complete,4.039882450977915,19.8801408,
md1,50,1000,False,complete,3.837663298051105,19.8620448,
md1,50,2000,False,complete,3.591318643087713,19.4905152,
md1,50,5000,False,complete,3.4100823727994083,19.4716288,
md1,50,10000,False,complete,3.348290036791091,19.4716288,
md1,100,1,True,complete,1230.7692307692307,,
wmg1,100,1,False,complete,615.3372457177716,5339.991072,
wmg1,100,33,False,complete,19.03713791647684,163.7627264,
wmg1,100,36,False,complete,18.359201386327463,50.5360128,
wmg1,100,38,False,complete,17.864591480264874,38.2965856,
wmg1,100,41,False,complete,17.115009697318957,30.385264,
wmg1,100,44,False,complete,16.378695132125163,26.7426016,
wmg1,100,47,False,complete,15.681376828146911,24.7255424,
wmg1,100,50,False,complete,15.029570931922956,23.5111552,
wmg1,100,52,False,complete,14.651719482205609,22.7148896,
wmg1,100,55,False,complete,14.108796358824357,21.916044799999998,
wmg1,100,58,False,complete,13.585829217091744,21.505660799999998,
wmg1,100,65,False,complete,12.559336666163693,20.698121599999997,
wmg1,100,70,False,complete,11.94446748121172,20.296015999999998,
wmg1,100,80,False,complete,10.909477556347806,19.89312,
wmg1,100,90,False,complete,10.120878604943295,19.4929696,
wmg1,100,100,False,complete,9.505245296058177,19.0957728,
wmg1,100,125,False,complete,8.276017922039864,19.087785599999997,
wmg1,100,150,False,complete,7.526780834770365,18.6903392,
wmg1,100,200,False,complete,6.501935886932148,18.6853472,
wmg1,100,300,False,complete,5.550471637863309,18.288566399999997,
wmg1,100,500,False,complete,4.730933205187122,18.285737599999997,
wmg1,100,750,False,complete,4.320817174898237,18.2839072,
wmg1,100,1000,False,complete,4.1159314867883605,18.2828672,
wmg1,100,2000,False,complete,3.848880534912594,18.0731616,
wmg1,100,5000,False,complete,3.700885847671553,17.887999999999998,
wmg1,100,10000,False,complete,3.63934752924546,17.887999999999998,
wmg1,90,1,False,complete,615.3432058775028,5339.991072,
wmg1,90,33,False,complete,19.03729424016575,163.7627264,
wmg1,90,36,False,complete,18.359328028584677,50.5360128,
wmg1,90,38,False,complete,17.864758596809278,38.2965856,
wmg1,90,41,False,complete,17.114799069192184,30.385264,
wmg1,90,44,False,complete,16.378695132125163,26.7426016,
wmg1,90,47,False,complete,15.681635669353655,24.7255424,
wmg1,90,50,False,complete,15.029570931922956,23.5111552,
wmg1,90,52,False,complete,14.652001235205152,22.7148896,
wmg1,90,55,False,complete,14.109088381765094,21.916044799999998,
wmg1,90,58,False,complete,13.585829217091744,21.505660799999998,
wmg1,90,65,False,complete,12.559645872344847,20.698121599999997,
wmg1,90,70,False,complete,11.944152149036077,20.296015999999998,
wmg1,90,80,False,complete,10.909477556347806,19.89312,
wmg1,90,90,False,complete,10.120878604943295,19.4929696,
wmg1,90,100,False,complete,9.50558044803787,19.0957728,
wmg1,90,125,False,complete,8.275682629817604,19.087785599999997,
wmg1,90,150,False,complete,7.526780834770365,18.6903392,
wmg1,90,200,False,complete,6.501935886932148,18.6853472,
wmg1,90,300,False,complete,5.550471637863309,18.288566399999997,
wmg1,90,500,False,complete,4.730933205187122,18.285737599999997,
wmg1,90,750,False,complete,4.320817174898237,18.2839072,
wmg1,90,1000,False,complete,4.1159314867883605,18.2828672,
wmg1,90,2000,False,complete,3.848880534912594,18.0731616,
wmg1,90,5000,False,complete,3.700885847671553,17.887999999999998,
wmg1,90,10000,False,complete,3.63934752924546,17.887999999999998,
wmg1,80,1,False,complete,615.3490342018085,5339.991072,
wmg1,80,33,False,complete,19.037450563854662,163.7627264,
wmg1,80,36,False,complete,18.359328028584677,50.5360128,
wmg1,80,38,False,complete,17.864758596809278,38.2965856,
wmg1,80,41,False,complete,17.115009697318957,30.385264,
wmg1,80,44,False,complete,16.378695132125163,26.7426016,
wmg1,80,47,False,complete,15.681635669353655,24.7255424,
wmg1,80,50,False,complete,15.02929872119483,23.5111552,
wmg1,80,52,False,complete,14.651719482205609,22.7148896,
wmg1,80,55,False,complete,14.108796358824357,21.916044799999998,
wmg1,80,58,False,complete,13.585829217091744,21.505660799999998,
wmg1,80,65,False,complete,12.559336666163693,20.698121599999997,
wmg1,80,70,False,complete,11.944152149036077,20.296015999999998,
wmg1,80,80,False,complete,10.90915583775281,19.89312,
wmg1,80,90,False,complete,10.120878604943295,19.4929696,
wmg1,80,100,False,complete,9.50558044803787,19.0957728,
wmg1,80,125,False,complete,8.275682629817604,19.087785599999997,
wmg1,80,150,False,complete,7.526780834770365,18.6903392,
wmg1,80,200,False,complete,6.501935886932148,18.6853472,
wmg1,80,300,False,complete,5.550471637863309,18.288566399999997,
wmg1,80,500,False,complete,4.730933205187122,18.285737599999997,
wmg1,80,750,False,complete,4.320817174898237,18.2839072,
wmg1,80,1000,False,complete,4.1159314867883605,18.2828672,
wmg1,80,2000,False,complete,3.848880534912594,18.0731616,
wmg1,80,5000,False,complete,3.700885847671553,17.887999999999998,
wmg1,80,10000,False,complete,3.63934752924546,17.887999999999998,
wmg1,70,1,False,complete,615.354928443827,5339.991072,
wmg1,70,33,False,complete,19.037567806621343,163.7627264,
wmg1,70,36,False,complete,18.35945467084189,50.5360128,
wmg1,70,38,False,complete,17.864758596809278,38.2965856,
wmg1,70,41,False,complete,17.115009697318957,30.385264,
wmg1,70,44,False,complete,16.378934450279022,26.7426016,
wmg1,70,47,False,complete,15.681635669353655,24.7255424,
wmg1,70,50,False,complete,15.029570931922956,23.5111552,
wmg1,70,52,False,complete,14.651719482205609,22.7148896,
wmg1,70,55,False,complete,14.108796358824357,21.916044799999998,
wmg1,70,58,False,complete,13.58612681257972,21.505660799999998,
wmg1,70,65,False,complete,12.559645872344847,20.698121599999997,
wmg1,70,70,False,complete,11.94446748121172,20.296015999999998,
wmg1,70,80,False,complete,10.90915583775281,19.89312,
wmg1,70,90,False,complete,10.120878604943295,19.4929696,
wmg1,70,100,False,complete,9.505915600017563,19.0957728,
wmg1,70,125,False,complete,8.275682629817604,19.087785599999997,
wmg1,70,150,False,complete,7.526780834770365,18.6903392,
wmg1,70,200,False,complete,6.501935886932148,18.6853472,
wmg1,70,300,False,complete,5.550471637863309,18.288566399999997,
wmg1,70,500,False,complete,4.730933205187122,18.285737599999997,
wmg1,70,750,False,complete,4.320817174898237,18.2839072,
wmg1,70,1000,False,complete,4.1159314867883605,18.2828672,
wmg1,70,2000,False,complete,3.848880534912594,18.0731616,
wmg1,70,5000,False,complete,3.7012436285926347,17.887999999999998,
wmg1,70,10000,False,complete,3.63934752924546,17.887999999999998,
wmg1,60,1,False,complete,615.3609149706432,5339.991072,
wmg1,60,33,False,complete,19.037724130310256,163.7627264,
wmg1,60,36,False,complete,18.359834597613542,50.5360128,
wmg1,60,38,False,complete,17.864758596809278,38.2965856,
wmg1,60,41,False,complete,17.115009697318957,30.385264,
wmg1,60,44,False,complete,16.378695132125163,26.7426016,
wmg1,60,47,False,complete,15.681635669353655,24.7255424,
wmg1,60,50,False,complete,15.029570931922956,23.5111552,
wmg1,60,52,False,complete,14.651719482205609,22.7148896,
wmg1,60,55,False,complete,14.109380404705833,21.916044799999998,
wmg1,60,58,False,complete,13.58612681257972,21.505660799999998,
wmg1,60,65,False,complete,12.559645872344847,20.698121599999997,
wmg1,60,70,False,complete,11.944782813387365,20.296015999999998,
wmg1,60,80,False,complete,10.908834119157813,19.89312,
wmg1,60,90,False,complete,10.12120692774239,19.4929696,
wmg1,60,100,False,complete,9.50558044803787,19.0957728,
wmg1,60,125,False,complete,8.275682629817604,19.087785599999997,
wmg1,60,150,False,complete,7.527123256900149,18.6903392,
wmg1,60,200,False,complete,6.502278400543639,18.6853472,
wmg1,60,300,False,complete,5.550471637863309,18.288566399999997,
wmg1,60,500,False,complete,4.730933205187122,18.285737599999997,
wmg1,60,750,False,complete,4.320817174898237,18.2839072,
wmg1,60,1000,False,complete,4.1159314867883605,18.2828672,
wmg1,60,2000,False,complete,3.848880534912594,18.0731616,
wmg1,60,5000,False,complete,3.7012436285926347,17.887999999999998,
wmg1,60,10000,False,complete,3.63934752924546,17.887999999999998,
wmg1,50,1,False,complete,615.3668895124208,5339.991072,
wmg1,50,33,False,complete,19.03795861584362,163.7627264,
wmg1,50,36,False,complete,18.359707955356324,50.5360128,
wmg1,50,38,False,complete,17.864758596809278,38.2965856,
wmg1,50,41,False,complete,17.115009697318957,30.385264,
wmg1,50,44,False,complete,16.379173768432885,26.7426016,
wmg1,50,47,False,complete,15.681376828146911,24.7255424,
wmg1,50,50,False,complete,15.029570931922956,23.5111552,
wmg1,50,52,False,complete,14.651719482205609,22.7148896,
wmg1,50,55,False,complete,14.10967242764657,21.916044799999998,
wmg1,50,58,False,complete,13.58612681257972,21.505660799999998,
wmg1,50,65,False,complete,12.559955078526002,20.698121599999997,
wmg1,50,70,False,complete,11.944782813387365,20.296015999999998,
wmg1,50,80,False,complete,10.908834119157813,19.89312,
wmg1,50,90,False,complete,10.12120692774239,19.4929696,
wmg1,50,100,False,complete,9.50558044803787,19.0957728,
wmg1,50,125,False,complete,8.275682629817604,19.087785599999997,
wmg1,50,150,False,complete,7.527123256900149,18.6903392,
wmg1,50,200,False,complete,6.502278400543639,18.6853472,
wmg1,50,300,False,complete,5.550821582484573,18.288566399999997,
wmg1,50,500,False,complete,4.730933205187122,18.285737599999997,
wmg1,50,750,False,complete,4.320817174898237,18.2839072,
