arm,pattern,read_percent,interval,admission_wait_max,admission_wait_sum,cpu_seconds,drain_cpu_seconds,drain_simulated_cycles,drain_wall_seconds,input_loading_wall_seconds,measured_reads,measured_reads_completed,measured_simulated_cycles,measured_writes,measured_writes_completed,peak_rss_kib,repeat,requests_per_second,simulated_cycles,total_process_cpu_seconds,total_process_wall_seconds,wall_seconds,warmup_cpu_seconds,warmup_reads_outstanding,warmup_wall_seconds,warmup_writes_outstanding
fixedlat,streaming,50,256,0,0,0.411158,0.0,0,1.582e-06,0.087381925,2498354,2498354,1280000000,2501646,2501646,210812,4,12159230.335116316,1305599744,0.52,0.52,0.411210238,0.008505,0,0.008507558,0
fixedlat,streaming,50,256,0,0,0.412648,0.0,0,1.616e-06,0.085177739,2498354,2498354,1280000000,2501646,2501646,210804,5,12116362.90310779,1305599744,0.51,0.52,0.412665091,0.008682,0,0.008685771,0
md1,streaming,50,256,0,0,0.416069,1e-06,0,2.77e-06,0.099915131,2498354,2498354,1280000000,2501646,2501646,210840,1,12016660.041681707,1305599744,0.53,0.54,0.416088995,0.008597,0,0.008600419,0
md1,streaming,50,256,0,0,0.412138,1e-06,0,1.235e-06,0.081071371,2498354,2498354,1280000000,2501646,2501646,210840,2,12131503.194495324,1305599744,0.51,0.52,0.412150079,0.008519,0,0.008522053,0
md1,streaming,50,256,0,0,0.413059,1e-06,0,1.529e-06,0.080407028,2498354,2498354,1280000000,2501646,2501646,210832,3,12104624.677168146,1305599744,0.51,0.52,0.413065265,0.00839,0,0.008391879,0
md1,streaming,50,256,0,0,0.413008,1e-06,0,2.213e-06,0.105657372,2498354,2498354,1280000000,2501646,2501646,210840,4,12106128.501411358,1305599744,0.54,0.54,0.413013954,0.008325,0,0.008327842,0
md1,streaming,50,256,0,0,0.412703,0.0,0,1.246e-06,0.080590975,2498354,2498354,1280000000,2501646,2501646,210840,5,12114911.515509065,1305599744,0.52,0.52,0.412714529,0.008647,0,0.008649184,0
wmg1,streaming,50,256,0,0,0.657134,1e-06,0,2.904e-06,0.091400741,2498354,2498354,1280000000,2501646,2501646,210840,1,7608580.924697804,1305599744,0.77,0.78,0.657152766,0.013537,0,0.013540009,0
wmg1,streaming,50,256,0,0,0.660054,1e-06,0,2.028e-06,0.077574274,2498354,2498354,1280000000,2501646,2501646,210840,2,7574877.294676327,1305599744,0.76,0.77,0.660076699,0.01354,0,0.013543682,0
wmg1,streaming,50,256,0,0,0.659624,0.0,0,1.153e-06,0.082368756,2498354,2498354,1280000000,2501646,2501646,210840,3,7579946.5643177405,1305599744,0.77,0.77,0.659635257,0.013164,0,0.01316644,0
wmg1,streaming,50,256,0,0,0.653962,1e-06,0,1.47e-06,0.086443002,2498354,2498354,1280000000,2501646,2501646,210812,4,7645527.31017601,1305599744,0.76,0.77,0.653977129,0.013418,0,0.013420715,0
wmg1,streaming,50,256,0,0,0.661712,1e-06,0,1.613e-06,0.080739022,2498354,2498354,1280000000,2501646,2501646,210804,5,7555940.850106303,1305599744,0.77,0.77,0.661730961,0.013443,0,0.013445785,0
mess,streaming,50,256,0,0,0.439111,1e-06,0,2.307e-06,0.091887338,2498354,2498354,1280000000,2501646,2501646,210796,1,11386000.435163828,1305599744,0.5499999999999999,0.56,0.439135764,0.009104,0,0.009107538,0
mess,streaming,50,256,0,0,0.439934,1e-06,0,1.316e-06,0.08308852,2498354,2498354,1280000000,2501646,2501646,210808,2,11364853.100306809,1305599744,0.54,0.55,0.439952893,0.009021,0,0.009022329,0
mess,streaming,50,256,0,0,0.439865,0.0,0,1.372e-06,0.08060552,2498354,2498354,1280000000,2501646,2501646,210832,3,11366963.8097856,1305599744,0.53,0.54,0.439871199,0.009183,0,0.009190561,0
mess,streaming,50,256,0,0,0.440241,1e-06,0,2.621e-06,0.090894797,2498354,2498354,1280000000,2501646,2501646,210840,4,11356672.606857557,1305599744,0.5499999999999999,0.56,0.440269802,0.008884,0,0.00888607,0
mess,streaming,50,256,0,0,0.440587,1e-06,0,1.171e-06,0.082516478,2498354,2498354,1280000000,2501646,2501646,210840,5,11348216.999579588,1305599744,0.54,0.55,0.440597849,0.009046,0,0.009048365,0
oracle,streaming,50,16,0,0,9.025413,2.6e-05,133,2.6918e-05,0.082042888,2498354,2498354,80000133,2501646,2501646,210832,1,553978.2577037625,81600117,9.3,9.3,9.025624978,0.177836,0,0.177841733,5
oracle,streaming,50,16,0,0,9.047774,2.5e-05,133,2.7049e-05,0.083795474,2498354,2498354,80000133,2501646,2501646,210840,2,552610.373867987,81600117,9.32,9.33,9.047966228,0.177926,0,0.177936068,5
oracle,streaming,50,16,0,0,9.130792,3.1e-05,133,3.2824e-05,0.079519164,2498354,2498354,80000133,2501646,2501646,210840,3,547585.6966566527,81600117,9.4,9.41,9.130990876,0.178144,0,0.178146311,5
oracle,streaming,50,16,0,0,9.061085,2.6e-05,133,2.723e-05,0.099375674,2498354,2498354,80000133,2501646,2501646,210760,4,551796.8113825093,81600117,9.35,9.36,9.061306439,0.178603,0,0.178611959,5
oracle,streaming,50,16,0,0,9.048656,2.6e-05,133,2.7742e-05,0.086207632,2498354,2498354,80000133,2501646,2501646,210840,5,552554.5163094004,81600117,9.32,9.33,9.048880884,0.179054,0,0.179056595,5
astra_single_core,streaming,50,16,0,0,0.991561,1e-06,78,2.782e-06,0.088579101,2498354,2498354,80000078,2501646,2501646,210812,1,5042370.296371981,81600062,1.11,1.11,0.991597147,0.020148,0,0.020149227,3
astra_single_core,streaming,50,16,0,0,0.99522,2e-06,78,2.575e-06,0.089348769,2498354,2498354,80000078,2501646,2501646,210840,2,5023892.25501839,81600062,1.11,1.12,0.995244274,0.020073,0,0.020075833,3
astra_single_core,streaming,50,16,0,0,0.991819,2e-06,78,2.274e-06,0.090587345,2498354,2498354,80000078,2501646,2501646,210788,3,5041066.925683407,81600062,1.12,1.12,0.991853525,0.020046,0,0.020048719,3
astra_single_core,streaming,50,16,0,0,0.993012,2e-06,78,2.594e-06,0.086867821,2498354,2498354,80000078,2501646,2501646,210808,4,5035155.26270833,81600062,1.11,1.12,0.993018038,0.020192,0,0.020194261,3
astra_single_core,streaming,50,16,0,0,0.992186,2e-06,78,2.928e-06,0.092409491,2498354,2498354,80000078,2501646,2501646,210840,5,5039323.702359961,81600062,1.11,1.12,0.992196631,0.020107,0,0.020110428,3
deepseek_single_core,streaming,50,16,0,0,1.270882,1e-06,37,2.244e-06,0.084818536,2498354,2498354,80000037,2501646,2501646,210804,1,3934146.2256152825,81600021,1.3900000000000001,1.4,1.270923782,0.025631,0,0.025633569,3
deepseek_single_core,streaming,50,16,0,0,1.265988,2e-06,37,3.819e-06,0.106781212,2498354,2498354,80000037,2501646,2501646,210832,2,3949361.4330420354,81600021,1.4100000000000001,1.42,1.266027454,0.025546,0,0.02554893,3
deepseek_single_core,streaming,50,16,0,0,1.269057,2e-06,37,2.273e-06,0.08245148,2498354,2498354,80000037,2501646,2501646,210796,3,3939861.2207839335,81600021,1.3900000000000001,1.39,1.269080234,0.025671,0,0.025673259,3
deepseek_single_core,streaming,50,16,0,0,1.270074,1e-06,37,2.935e-06,0.086384973,2498354,2498354,80000037,2501646,2501646,210804,4,3936711.8797789854,81600021,1.3900000000000001,1.4,1.270095489,0.025846,0,0.025857194,3
deepseek_single_core,streaming,50,16,0,0,1.277442,1e-06,37,2.165e-06,0.085511867,2498354,2498354,80000037,2501646,2501646,210840,5,3914004.309140266,81600021,1.4000000000000001,1.41,1.277464102,0.02562,0,0.025622353,3
