cohort,cores,arm,cases,core_abs_pct,core_signed_pct,mae_L,drift_L,abs_drift_L,p99_L,p999_L,worst_core_pct,makespan_abs_pct,oracle_coverage,model_coverage,min_oracle_pairing,paired_reads_total
validation,1,astra_single_core,14,2.154533893784704,-1.4018326617475476,0.15850632606951912,0.024777317379546603,0.03693484017884149,1.5078685966939298,3.738516586055454,2.154533893784704,2.154533893784704,0.9661637305173488,0.9661599230286478,0.8768846328005769,5085939
validation,1,astra_multicore,14,2.2909092675969873,-1.7354277267909743,0.15247203814125224,0.014564079074655853,0.02848065726384305,1.5463215144469529,3.7536556872055202,2.2909092675969873,2.2909092675969873,0.9663271663960227,0.9663230081466632,0.8769293552697044,5087071
validation,1,deepseek_single_core,14,2.187319472222376,-1.5051124804913616,0.15784031492909079,-0.04003335883395691,0.054020099972113454,1.2938084595322366,2.9085101121289676,2.187319472222376,2.187319472222376,0.9647093151308017,0.9647073803395657,0.8761131702081272,5080226
validation,1,deepseek_multicore,14,2.1873810855262574,-1.5056637977693634,0.1578235904343865,-0.040097613624246235,0.05407639151429123,1.2938084595322366,2.9108752885210314,2.1873810855262574,2.1873810855262574,0.964712147695577,0.9647102128992836,0.8761131702081272,5080235
validation,4,fixedlat,8,22.668281298522857,-22.668281298522857,0.5612919763625805,-0.47118802148844857,0.47118802148844857,4.035611158929015,6.843070184344368,35.27600404319493,33.465864473336815,0.9039298364362909,0.9120989616472618,0.7921133490202851,11965237
validation,4,md1,8,14.543919141449265,-14.09698572846982,0.5246754839284138,-0.31234042030101705,0.31234042030101705,3.9159717038888777,6.777785969312838,23.525178669715174,22.10317780808377,0.8649319487925127,0.8723616758364101,0.7937583202009081,11277206
validation,4,wmg1,8,21.802215902243233,-21.802215902243233,0.5625470792912666,-0.4760772633069024,0.4760772633069024,4.086033986907285,6.9353529697317775,33.88399856612999,32.110645040725494,0.8650082152289171,0.8730783987097925,0.791782339946319,11284156
validation,4,mess,8,6.905699057676104,3.658353827223861,0.5642578228987081,0.0812456758311558,0.14234092854691,3.5397350759576947,6.400602074172508,14.050498883106107,11.567855185683904,0.8756497669886506,0.8742435280219424,0.8036410998136275,11377713
validation,4,astra_single_core,8,5.45582115495805,1.3879539654401758,0.6299285809281314,0.1426839511681619,0.1426839511681619,3.638324874581077,6.241458610201763,11.313342347181155,9.37285934059509,0.9125835741384887,0.9196155918938582,0.7981722542437522,12032886
validation,4,astra_multicore,8,4.245121211891657,0.9210791781676895,0.6154927197503081,0.11376488239128976,0.11376488239128976,3.638497165350329,6.247090760834683,8.798451917167299,7.328678069994132,0.9144374788596029,0.9200190354217024,0.7972655772150623,12070470
