case,arm,mode,ending,core_abs_pct,signed_pct,instructions,oracle_instructions,cycles,ipc,dram_reads,verification,low_traffic,roi_seconds,total_hours,peak_rss_gib
gapbs-c1-pr,deepseek_multicore,FS,roi_end,0.05064745820669633,0.05064745820669633,1492392559,1492383349,13313991992,0.11209204270940949,147442846,numerical_verification,False,13963.435640655,4.775902142657174,3.132213592529297
npb-c1-is.B.x,deepseek_multicore,FS,instruction_cap,0.005028083439511496,0.005028083439511496,2000000004,2000000004,4443268204,0.45011912677238874,21470200,unavailable: instruction-capped interval,False,7762.9671108719995,2.1594321293963326,3.1288490295410156
polybench421_bicg_large,astra_multicore,SE,roi_end,0.006908932598172155,-0.006908932598172155,41908495,41908495,17338673,2.417053196631599,476554,array dump retained; compare oracle/FixedLat at printed precision,False,124.31920135500002,0.07900334371460808,0.14260101318359375
polybench421_gesummv_large,astra_single_core,SE,roi_end,0.3555935307529726,-0.3555935307529726,16609512,16609512,6894532,2.40908476456415,377488,array dump retained; compare oracle/FixedLat at printed precision,False,48.987265197,0.044023084044456484,0.142578125
gapbs-c1-pr,mess,FS,roi_end,0.09300430177080209,-0.09300430177080209,1492362966,1492383349,13294875890,0.11225098890336463,147462414,numerical_verification,False,13975.978469645,4.78174190196726,3.133087158203125
npb-c1-is.B.x,astra_multicore,FS,instruction_cap,0.0001932908709871295,0.0001932908709871295,2000000004,2000000004,4443053392,0.4501408890564149,21470289,unavailable: instruction-capped interval,False,7630.747577413999,2.122685594227579,3.129497528076172
npb-c1-is.B.x,deepseek_single_core,FS,instruction_cap,0.0064068901520804925,0.0064068901520804925,2000000004,2000000004,4443329465,0.45011292089725785,21470228,unavailable: instruction-capped interval,False,7587.599190121,2.110661781165335,3.12890625
npb-c1-is.B.x,mess,FS,instruction_cap,0.09983714312325895,0.09983714312325895,2000000001,2000000004,4447480613,0.4496927980200731,21470472,unavailable: instruction-capped interval,False,7583.072379395,2.1094502392080097,3.126453399658203
polybench421_gemver_large,astra_single_core,SE,roi_end,2.7194926440987093,2.7194926440987093,88101036,88101036,51949726,1.6958902920873924,1456064,array dump retained; compare oracle/FixedLat at printed precision,False,243.87265680399997,0.10882026619381374,0.14260101318359375
polybench421_atax_large,astra_single_core,SE,roi_end,0.030070626981410747,0.030070626981410747,41931771,41931771,19240501,2.17934922796449,476230,array dump retained; compare oracle/FixedLat at printed precision,False,118.04219538699999,0.06986921197838253,0.14261627197265625
gapbs-c1-bfs,astra_single_core,FS,roi_end,1.7562361383768204,-1.7562361383768204,66989112,66989163,97075674,0.6900710470472757,1516531,numerical_verification,False,300.576639979,0.7942532605595058,3.124065399169922
polybench421_mvt_large,wmg1,SE,roi_end,19.252380458565074,-19.252380458565074,58030014,58030014,22510932,2.5778592374584934,965695,array dump retained; compare oracle/FixedLat at printed precision,False,150.00360206000005,0.08409664187166425,0.142578125
polybench421_gesummv_large,fixedlat,SE,roi_end,4.2588554409105415,-4.2588554409105415,16609512,16609512,6624460,2.507300519589521,377488,array dump retained; compare oracle/FixedLat at printed precision,False,49.39624360099998,0.04438487986723582,0.14260101318359375
parsec-c1-streamcluster,astra_single_core,FS,instruction_cap,0.012077871345201382,0.012077871345201382,2000000002,2000000001,1817973633,1.1001259675585184,35432518,unavailable: instruction-capped interval,False,5646.793412743,1.5715009264813529,3.240467071533203
gapbs-c1-sssp,md1,FS,roi_end,9.346962446677146,-9.346962446677146,584516368,584875021,1968382985,0.2969525607843029,27425493,numerical_verification,False,3192.9056913679997,3.09782910545667,3.132781982421875
gapbs-c1-bfs,fixedlat,FS,roi_end,20.421381301473946,-20.421381301473946,66958665,66989163,78632452,0.851539832434578,1513176,numerical_verification,False,290.89852468000004,0.7794234962595834,3.124431610107422
parsec-c1-canneal,astra_single_core,FS,roi_end,0.6208562249617262,0.6208562249617262,1774952833,1774917366,8010444466,0.2215798187645784,35967099,roi_and_process_completion,False,9958.492046389001,3.606572173304028,3.239246368408203
parsec-c1-streamcluster,md1,FS,instruction_cap,12.168386944190653,-12.168386944190653,2000000006,2000000001,1596562736,1.252691147615511,36366737,unavailable: instruction-capped interval,False,5534.054024123,1.5401607296864193,3.2392959594726562
parsec-c1-streamcluster,wmg1,FS,instruction_cap,14.521984733130736,-14.521984733130736,2000000001,2000000001,1553780116,1.2871834183003537,36363182,unavailable: instruction-capped interval,False,5501.712833523,1.531240306297938,3.2399063110351562
parsec-c1-canneal,wmg1,FS,roi_end,35.543505012701125,-35.543505012701125,1772308456,1774917366,5131372307,0.3453868380554442,36022744,roi_and_process_completion,False,8324.898739035,2.9848044121927684,3.239940643310547
npb-c1-mg.B.x,mess,FS,instruction_cap,7.168256552143462,-7.168256552143462,2000000002,2000000003,1169575334,1.710022384928306,56963325,unavailable: instruction-capped interval,False,6730.218455577,1.872856895857387,3.151477813720703
npb-c1-mg.B.x,fixedlat,FS,instruction_cap,15.568138834628943,-15.568138834628943,2000000003,2000000003,1063746285,1.880147579551829,56964805,unavailable: instruction-capped interval,False,6562.9942055989995,1.8263770880964068,3.1498146057128906
polybench421_gemver_large,astra_multicore,SE,roi_end,1.9573238297034308,1.9573238297034308,88101036,88101036,51564264,1.7085677010729756,1456064,array dump retained; compare oracle/FixedLat at printed precision,False,237.79433986499998,0.10636000308725568,0.142578125
npb-c1-cg.B.x,astra_single_core,FS,instruction_cap,0.0015811227410532783,-0.0015811227410532783,2000000001,2000000001,12210876631,0.16378840450509174,52049999,unavailable: instruction-capped interval,False,13304.045081684,3.700675123466386,3.130474090576172
gapbs-c1-pr,fixedlat,FS,roi_end,1.3575699264568692,-1.3575699264568692,1492093675,1492383349,13126596953,0.11366949715470555,147415723,numerical_verification,False,13885.968285289999,4.546421922776434,3.133209228515625
parsec-c1-streamcluster,mess,FS,instruction_cap,14.81191316941872,14.81191316941872,2000000003,2000000001,2086998244,0.9583141762336815,36502637,unavailable: instruction-capped interval,False,5812.590423056,1.6175852431853612,3.2395591735839844
npb-c1-mg.B.x,astra_single_core,FS,instruction_cap,0.6047683851261847,-0.6047683851261847,2000000000,2000000003,1252267887,1.597102361852708,56942516,unavailable: instruction-capped interval,False,6699.180135528,1.8642773541476991,3.1528587341308594
parsec-c1-blackscholes,md1,FS,instruction_cap,0.4400840146135364,-0.4400840146135364,2000000000,2000000003,686935888,2.911479855598984,2647636,unavailable: instruction-capped interval,False,4935.518003593,1.3737607915533914,3.2398643493652344
gapbs-c1-sssp,mess,FS,roi_end,0.3639878491217727,0.3639878491217727,584885345,584875021,2179240446,0.2683895419037207,27523847,numerical_verification,False,3294.829659942,3.157360553542773,3.1319007873535156
npb-c1-cg.B.x,mess,FS,instruction_cap,0.11514594005261981,0.11514594005261981,2000000003,2000000001,12225130254,0.1635974391639394,52054392,unavailable: instruction-capped interval,False,13391.034159924,3.724755741821395,3.1295814514160156
npb-c1-cg.B.x,deepseek_single_core,FS,instruction_cap,0.024801463538087546,0.024801463538087546,2000000000,2000000001,12214098227,0.1637452035205415,52051017,unavailable: instruction-capped interval,False,13449.497505801999,3.7411543188492455,3.129913330078125
polybench421_trisolv_large,astra_single_core,SE,roi_end,0.009487347767684694,-0.009487347767684694,14022009,14022009,9717284,1.4429967262457288,229207,array dump retained; compare oracle/FixedLat at printed precision,False,34.23642886499999,0.022321794165505303,0.142578125
gapbs-c1-sssp,fixedlat,FS,roi_end,9.408987133463647,-9.408987133463647,584511189,584875021,1967036220,0.29715324154020917,27431192,numerical_verification,False,3185.073697534,3.0882216027710174,3.1309165954589844
polybench421_gemver_large,deepseek_single_core,SE,roi_end,1.4038121293082106,1.4038121293082106,88101036,88101036,51284329,1.7178939008834453,1456064,array dump retained; compare oracle/FixedLat at printed precision,False,238.430555562,0.10674209402667152,0.14260101318359375
polybench421_bicg_large,md1,SE,roi_end,7.587899587026916,-7.587899587026916,41908495,41908495,16024139,2.6153352139543973,476549,array dump retained; compare oracle/FixedLat at printed precision,False,122.84589802099998,0.07797459178500706,0.1414947509765625
