arm,interval,mean,median,n,oracle_relative_speedup,pattern,read_percent,standard_deviation
wmg1,16,5659889.93836603,5624301.239626139,5,30.695139161883098,random,75,51575.70647424308
mess,16,7887976.34670535,7880455.581872004,5,43.008308132634575,random,75,26845.72281833934
oracle,16,751846.9316748424,752448.6036862353,5,1.0,streaming,75,1162.437227069846
astra_single_core,16,5213849.731085909,5222670.123170418,5,6.940899481485685,streaming,75,26533.942399779276
deepseek_single_core,16,4012303.0599327195,4010430.642432601,5,5.32983996885044,streaming,75,5170.8179468613225
astra_multicore,16,5176975.170413418,5188755.251736363,5,6.8958268063981025,streaming,75,34511.456225755544
deepseek_multicore,16,3766192.5593654597,3763169.9848116958,5,5.0012319331526145,streaming,75,6516.6073775262175
fixedlat,16,9160613.208745766,9169812.190398943,5,12.186629286673083,streaming,75,39137.292891951736
md1,16,9524905.378842965,9521135.60808535,5,12.653536150431323,streaming,75,8491.760221043154
wmg1,16,5706600.078967431,5711797.74657607,5,7.590947366496598,streaming,75,20764.108355741457
mess,16,7868284.447919117,7883332.580842961,5,10.476905056667823,streaming,75,53894.12461090978
oracle,1,60274.22892783365,60549.23574133291,5,1.0,random,75,629.7342537078698
astra_single_core,1,4437309.6523264935,4440257.660372701,5,73.33300917853921,random,75,28349.468088581263
deepseek_single_core,1,2785382.0033816327,2785198.367863284,5,45.99890211268209,random,75,5701.690369951253
astra_multicore,1,4377733.139157782,4375735.264641922,5,72.26739051397969,random,75,9148.483608665783
deepseek_multicore,1,2715685.177807684,2715697.8202777873,5,44.85106685539818,random,75,4411.818585171933
fixedlat,1,2582368.744235467,2580106.2167187645,5,42.611705748706896,random,75,12193.240566066568
md1,1,6941093.808732085,6942505.325568065,5,114.65884318055697,random,75,5119.8067422451795
wmg1,1,3922748.323247494,3927301.255189045,5,64.86128531772927,random,75,17996.52215686047
mess,1,4160501.2747719944,4171690.045475418,5,68.89748473947598,random,75,21973.757492171626
oracle,16,302316.4138710865,302300.31787798024,5,1.0,random,100,1281.7548993398693
astra_single_core,16,5012051.087983129,5003801.287762287,5,16.55241821406886,random,100,15101.150459845388
deepseek_single_core,16,3817282.6086331117,3820610.995579528,5,12.638461720446058,random,100,11110.582343061002
astra_multicore,16,4844172.71652425,4859938.747412082,5,16.07652542851025,random,100,33542.355953449114
deepseek_multicore,16,3607402.182627038,3607383.835072639,5,11.933112940121731,random,100,7315.704121658239
fixedlat,16,8057292.005743226,8071743.255488645,5,26.701074322874856,random,100,34342.20611434411
md1,16,8584460.193116918,8577256.233786006,5,28.373295450017054,random,100,21348.75167417363
wmg1,16,5057440.764387066,5063744.486669693,5,16.750708441906472,random,100,13760.323635549456
mess,16,6837100.406024335,6827931.781991545,5,22.586584856809694,random,100,23612.79177029187
oracle,1,72489.05834189535,71974.77618990299,5,1.0,random,100,964.9228768460699
astra_single_core,1,4922250.65843408,4938834.7345330985,5,68.61896619868816,random,100,56851.64115730201
deepseek_single_core,1,3398102.5805991497,3400219.7334879073,5,47.241824337411536,random,100,9071.424052568571
astra_multicore,1,4730821.376460326,4724764.129049463,5,65.64472137549042,random,100,29414.466712407448
deepseek_multicore,1,3249655.6936501525,3248048.874467168,5,45.12759950648964,random,100,8718.19138815585
fixedlat,1,1870723.2290360846,1868505.604240997,5,25.96056150714535,random,100,16696.285565752736
md1,1,6190742.355070512,6184682.225844472,5,85.92846762769223,random,100,34089.72875983678
wmg1,1,3379829.3386711986,3384320.465349804,5,47.02092378058099,random,100,12204.649368918608
mess,1,4012011.931133013,4024004.59743491,5,55.90853921959704,random,100,25446.944066867407
oracle,256,128228.68769541016,127693.06385959263,5,1.0,random,75,1402.9503477854748
astra_single_core,256,5861075.318001551,5857261.219673483,5,45.869846353706,random,75,24917.33233094138
deepseek_single_core,256,4375477.685073376,4375685.632198277,5,34.267214678235355,random,75,3787.0429000449217
astra_multicore,256,5840577.744240506,5837303.660058625,5,45.71355313767978,random,75,15650.958383921357
deepseek_multicore,256,4129748.4295752193,4131156.6214013086,5,32.35223978918543,random,75,3143.672544570386
fixedlat,256,10211952.754365545,10210234.966197332,5,79.9591979202895,random,75,14122.689734816899
md1,256,10213821.139808295,10212948.618857715,5,79.98044929118123,random,75,6262.244480815114
wmg1,256,6578809.5706084855,6580842.321967663,5,51.53641179135427,random,75,37495.3800191027
