case,arm,core_abs_pct,core_signed_pct,mae_L,drift_L,p99_L,p999_L,min_cycles,max_cycles,L,pairs,oracle_coverage,model_coverage
training-c1-lbm,fixedlat,38.978856534728365,-38.978856534728365,0.6741845243508898,-0.46225001387796205,2.233499777837949,3.779174364577014,-1890,198,258.7866834531365,920647,0.9932142098114543,0.9932142098114543
training-c1-lbm,gemini_single_core,1.8959757871940046,-1.8959757871940046,0.6060613152580309,-0.004515356219251518,2.426709101180332,4.246740927065581,-1860,1691,258.7866834531365,920125,0.9926510647433429,0.9926489229604105
training-c1-lbm,md1,33.67795236039649,-33.67795236039649,0.6461197849200634,-0.39904350482185025,2.426709101180332,3.9839762473199403,-1973,398,258.7866834531365,906305,0.9777417451239944,0.9777417451239944
training-c1-lbm,mess,22.69901461971701,-22.69901461971701,0.5629868449203768,-0.26203159571686546,2.2025862861031675,3.8178162292454907,-1955,158,258.7866834531365,906488,0.9779391695444243,0.9779391695444243
training-c1-lbm,opus_single_core,0.2950660973702094,0.2950660973702094,0.49438827445185735,-0.004014240149656262,2.3262402530422928,3.253645005085732,-1826,1234,258.7866834531365,921150,0.993756857262144,0.993756857262144
training-c1-lbm,wmg1,41.77640918274453,-41.77640918274453,0.6434846793727873,-0.49158466526472283,2.3996597959123984,3.9646553149857016,-1986,464,258.7866834531365,907424,0.9789489469079344,0.9789489469079344
training-c1-llama7b,astra_single_core,0.2734536723919777,-0.2734536723919777,0.008634365669444416,-0.004948776540753397,0.0,1.2854308477446454,-161,196,48.2328552397682,712474,0.9980346754412875,0.9980346754412875
training-c1-llama7b,deepseek_single_core,0.24492006155220084,-0.24492006155220084,0.007894972249805794,-0.005299573017346085,0.0,1.0781032916567994,-161,208,48.2328552397682,712474,0.9980346754412875,0.9980346754412875
training-c1-llama7b,fixedlat,5.609120666236167,-5.609120666236167,0.1066663689061597,-0.086676236779967,1.6378876930939836,1.6378876930939836,-211,12,48.2328552397682,712474,0.9980346754412875,0.9980346754412875
training-c1-llama7b,gemini_single_core,0.1480082534651686,-0.1480082534651686,0.02702352145779391,0.014286772140020393,0.062198266826353814,1.30616360335343,-161,247,48.2328552397682,712474,0.9980346754412875,0.9980346754412875
