batch,arm,pattern,read_percent,interval,n,median,oracle_relative_speedup
batch_b,gemini_single_core,streaming,100,64,5,6270605.114346666,10.63223092508637
batch_b,oracle,random,50,64,5,259332.1757870162,1.0
batch_b,opus_single_core,random,50,64,5,2624706.843211798,10.121022720171105
batch_b,gemini_single_core,random,50,64,5,4849982.231411098,18.701814445864525
batch_b,oracle,streaming,75,1,5,76474.13516785218,1.0
batch_b,opus_single_core,streaming,75,1,5,156218.4658088374,2.042762111215189
batch_b,gemini_single_core,streaming,75,1,5,2371946.2580109653,31.016320129738094
batch_b,oracle,random,50,256,5,129841.18738923874,1.0
batch_b,opus_single_core,random,50,256,5,3071156.224190272,23.653174204141713
batch_b,gemini_single_core,random,50,256,5,5879180.34179692,45.27977955232553
batch_b,oracle,random,100,64,5,266581.2798581033,1.0
batch_b,opus_single_core,random,100,64,5,3016540.5339658516,11.315650279612676
batch_b,gemini_single_core,random,100,64,5,5556579.849311,20.84384864634408
batch_b,oracle,streaming,75,64,5,568473.7313162284,1.0
batch_b,opus_single_core,streaming,75,64,5,3253177.6176877506,5.72265249645825
batch_b,gemini_single_core,streaming,75,64,5,5846235.35310795,10.284090593899101
batch_b,oracle,streaming,75,4,5,76306.55063513394,1.0
batch_b,opus_single_core,streaming,75,4,5,155562.83898002098,2.038656415277602
batch_b,gemini_single_core,streaming,75,4,5,2376524.6778251254,31.144438557951254
batch_b,oracle,streaming,50,4,5,76471.18254989221,1.0
batch_b,opus_single_core,streaming,50,4,5,92027.70357520643,1.2034298477752015
batch_b,gemini_single_core,streaming,50,4,5,2686404.946057488,35.1296378123196
batch_b,oracle,streaming,75,256,5,172674.93009092452,1.0
batch_b,opus_single_core,streaming,75,256,5,3350913.2069515414,19.405904523529088
batch_b,gemini_single_core,streaming,75,256,5,6283970.6978597175,36.39191105825727
batch_b,oracle,random,50,1,5,60225.801200911905,1.0
batch_b,opus_single_core,random,50,1,5,334955.3973171862,5.561659465513503
batch_b,gemini_single_core,random,50,1,5,2711178.028407208,45.01688602469197
batch_b,oracle,random,50,4,5,60319.07833219621,1.0
batch_b,opus_single_core,random,50,4,5,335604.33166758093,5.5638173020367105
batch_b,gemini_single_core,random,50,4,5,2707087.729741487,44.87946110238456
batch_b,oracle,streaming,100,1,5,79807.42829686154,1.0
batch_b,opus_single_core,streaming,100,1,5,716663.87387055,8.979914390985746
batch_b,gemini_single_core,streaming,100,1,5,3314214.3642123053,41.52764266359198
batch_b,oracle,random,75,64,5,262820.6636505961,1.0
batch_b,opus_single_core,random,75,64,5,2609061.641358466,9.927155670023925
batch_b,gemini_single_core,random,75,64,5,5132155.018938909,19.527212768025702
batch_b,oracle,streaming,50,64,5,574338.7182111274,1.0
batch_b,opus_single_core,streaming,50,64,5,3280701.5587640624,5.712137201862949
batch_b,gemini_single_core,streaming,50,64,5,5647647.692724808,9.833304831537976
